algorithm,message_size,operation,sample,peak_python_heap_bytes,current_python_heap_bytes
AES-128-GCM,256,decrypt,4,321,32
AES-128-GCM,256,decrypt,5,321,32
AES-128-GCM,256,decrypt,6,321,32
AES-128-GCM,256,decrypt,7,321,32
AES-128-GCM,256,decrypt,8,321,32
AES-128-GCM,256,decrypt,9,321,32
AES-128-GCM,256,decrypt,10,321,32
AES-128-GCM,256,decrypt,11,321,32
AES-128-GCM,256,decrypt,12,321,32
AES-128-GCM,256,decrypt,13,321,32
AES-128-GCM,256,decrypt,14,321,32
AES-128-GCM,256,decrypt,15,321,32
AES-128-GCM,256,decrypt,16,321,32
AES-128-GCM,256,decrypt,17,321,32
AES-128-GCM,256,decrypt,18,321,32
AES-128-GCM,256,decrypt,19,321,32
AES-128-GCM,256,decrypt,20,321,32
AES-128-GCM,512,encrypt,1,561,0
AES-128-GCM,512,encrypt,2,561,0
AES-128-GCM,512,encrypt,3,561,0
AES-128-GCM,512,encrypt,4,561,0
AES-128-GCM,512,encrypt,5,561,0
AES-128-GCM,512,encrypt,6,561,0
AES-128-GCM,512,encrypt,7,561,0
AES-128-GCM,512,encrypt,8,561,0
AES-128-GCM,512,encrypt,9,561,0
AES-128-GCM,512,encrypt,10,561,0
AES-128-GCM,512,encrypt,11,561,0
AES-128-GCM,512,encrypt,12,561,0
AES-128-GCM,512,encrypt,13,561,0
AES-128-GCM,512,encrypt,14,561,0
AES-128-GCM,512,encrypt,15,561,0
AES-128-GCM,512,encrypt,16,561,0
AES-128-GCM,512,encrypt,17,561,0
AES-128-GCM,512,encrypt,18,561,0
AES-128-GCM,512,encrypt,19,561,0
AES-128-GCM,512,encrypt,20,561,0
AES-128-GCM,512,decrypt,1,577,32
AES-128-GCM,512,decrypt,2,577,32
AES-128-GCM,512,decrypt,3,577,32
AES-128-GCM,512,decrypt,4,577,32
AES-128-GCM,512,decrypt,5,577,32
AES-128-GCM,512,decrypt,6,577,32
AES-128-GCM,512,decrypt,7,577,32
AES-128-GCM,512,decrypt,8,577,32
AES-128-GCM,512,decrypt,9,577,32
AES-128-GCM,512,decrypt,10,577,32
AES-128-GCM,512,decrypt,11,577,32
AES-128-GCM,512,decrypt,12,577,32
AES-128-GCM,512,decrypt,13,577,32
AES-128-GCM,512,decrypt,14,577,32
AES-128-GCM,512,decrypt,15,577,32
AES-128-GCM,512,decrypt,16,577,32
AES-128-GCM,512,decrypt,17,577,32
AES-128-GCM,512,decrypt,18,577,32
AES-128-GCM,512,decrypt,19,577,32
AES-128-GCM,512,decrypt,20,577,32
AES-128-GCM,1024,encrypt,1,1073,0
AES-128-GCM,1024,encrypt,2,1073,0
AES-128-GCM,1024,encrypt,3,1073,0
AES-128-GCM,1024,encrypt,4,1073,0
AES-128-GCM,1024,encrypt,5,1073,0
AES-128-GCM,1024,encrypt,6,1073,0
AES-128-GCM,1024,encrypt,7,1073,0
AES-128-GCM,1024,encrypt,8,1073,0
AES-128-GCM,1024,encrypt,9,1073,0
AES-128-GCM,1024,encrypt,10,1073,0
AES-128-GCM,1024,encrypt,11,1073,0
AES-128-GCM,1024,encrypt,12,1073,0
AES-128-GCM,1024,encrypt,13,1073,0
AES-128-GCM,1024,encrypt,14,1073,0
AES-128-GCM,1024,encrypt,15,1073,0
AES-128-GCM,1024,encrypt,16,1073,0
AES-128-GCM,1024,encrypt,17,1073,0
AES-128-GCM,1024,encrypt,18,1073,0
AES-128-GCM,1024,encrypt,19,1073,0
AES-128-GCM,1024,encrypt,20,1073,0
AES-128-GCM,1024,decrypt,1,1089,32
AES-128-GCM,1024,decrypt,2,1089,32
AES-128-GCM,1024,decrypt,3,1089,32
AES-128-GCM,1024,decrypt,4,1089,32
AES-128-GCM,1024,decrypt,5,1089,32
AES-128-GCM,1024,decrypt,6,1089,32
AES-128-GCM,1024,decrypt,7,1089,32
AES-128-GCM,1024,decrypt,8,1089,32
AES-128-GCM,1024,decrypt,9,1089,32
AES-128-GCM,1024,decrypt,10,1089,32
AES-128-GCM,1024,decrypt,11,1089,32
AES-128-GCM,1024,decrypt,12,1089,32
AES-128-GCM,1024,decrypt,13,1089,32
AES-128-GCM,1024,decrypt,14,1089,32
AES-128-GCM,1024,decrypt,15,1089,32
AES-128-GCM,1024,decrypt,16,1089,32
AES-128-GCM,1024,decrypt,17,1089,32
AES-128-GCM,1024,decrypt,18,1089,32
AES-128-GCM,1024,decrypt,19,1089,32
AES-128-GCM,1024,decrypt,20,1089,32
